"brutto","bruttoMonthly","term","medicare","oldAge","disability","unemployment","solidarityFund","socAll","health","fixedExpenses","nonTaxable","taxBase1","taxBase","incomeTax19","incomeTax25","netto","nettoMonthly"
91000,7583.33333333333,12,3263.568,13350.96,4450.32,1483.44,3523.17,26071.458,12740,20000,708.442499999999,32188.542,31480.0995,5981.218905,0,46207.323095,3850.61025791667
91500,7625,12,3263.568,13350.96,4450.32,1483.44,3523.17,26071.458,12810,20000,600.942499999999,32618.542,32017.5995,6083.343905,0,46535.198095,3877.93317458333
92000,7666.66666666667,12,3263.568,13350.96,4450.32,1483.44,3523.17,26071.458,12880,20000,493.442499999999,33048.542,32555.0995,6185.468905,0,46863.073095,3905.25609125
92500,7708.33333333333,12,3263.568,13350.96,4450.32,1483.44,3523.17,26071.458,12950,20000,385.942499999999,33478.542,33092.5995,6287.593905,0,47190.948095,3932.57900791667
93000,7750,12,3263.568,13350.96,4450.32,1483.44,3523.17,26071.458,13020,20000,278.442499999999,33908.542,33630.0995,6389.718905,0,47518.823095,3959.90192458333
93500,7791.66666666667,12,3263.568,13350.96,4450.32,1483.44,3523.17,26071.458,13090,20000,170.942499999999,34338.542,34167.5995,6491.843905,0,47846.698095,3987.22484125
94000,7833.33333333333,12,3263.568,13350.96,4450.32,1483.44,3523.17,26071.458,13160,20000,63.4424999999992,34768.542,34705.0995,6593.968905,0,48174.573095,4014.54775791667
94500,7875,12,3263.568,13350.96,4450.32,1483.44,3523.17,26071.458,13230,20000,0,35198.542,35198.542,6654.2389,44.0580000000009,48500.2451,4041.68709166667
95000,7916.66666666667,12,3263.568,13350.96,4450.32,1483.44,3523.17,26071.458,13300,20000,0,35628.542,35628.542,6654.2389,151.558000000001,48822.7451,4068.56209166667
95500,7958.33333333333,12,3263.568,13350.96,4450.32,1483.44,3523.17,26071.458,13370,20000,0,36058.542,36058.542,6654.2389,259.058000000001,49145.2451,4095.43709166667
96000,8000,12,3263.568,13350.96,4450.32,1483.44,3523.17,26071.458,13440,20000,0,36488.542,36488.542,6654.2389,366.558000000001,49467.7451,4122.31209166667
96500,8041.66666666667,12,3263.568,13350.96,4450.32,1483.44,3523.17,26071.458,13510,20000,0,36918.542,36918.542,6654.2389,474.058000000001,49790.2451,4149.18709166667
97000,8083.33333333333,12,3263.568,13350.96,4450.32,1483.44,3523.17,26071.458,13580,20000,0,37348.542,37348.542,6654.2389,581.558000000001,50112.7451,4176.06209166667
97500,8125,12,3263.568,13350.96,4450.32,1483.44,3523.17,26071.458,13650,20000,0,37778.542,37778.542,6654.2389,689.058000000001,50435.2451,4202.93709166667
98000,8166.66666666667,12,3263.568,13350.96,4450.32,1483.44,3523.17,26071.458,13720,20000,0,38208.542,38208.542,6654.2389,796.558000000001,50757.7451,4229.81209166667
98500,8208.33333333333,12,3263.568,13350.96,4450.32,1483.44,3523.17,26071.458,13790,20000,0,38638.542,38638.542,6654.2389,904.058000000001,51080.2451,4256.68709166667
99000,8250,12,3263.568,13350.96,4450.32,1483.44,3523.17,26071.458,13860,20000,0,39068.542,39068.542,6654.2389,1011.558,51402.7451,4283.56209166667
99500,8291.66666666667,12,3263.568,13350.96,4450.32,1483.44,3523.17,26071.458,13930,20000,0,39498.542,39498.542,6654.2389,1119.058,51725.2451,4310.43709166667
1e+05,8333.33333333333,12,3263.568,13350.96,4450.32,1483.44,3523.17,26071.458,14000,20000,0,39928.542,39928.542,6654.2389,1226.558,52047.7451,4337.31209166667
